EXEMPLE DATE DE INTRARE PENTRU NESATISFIABILITATE:

--------------------------------------------------

p cnf 5 50
78 -98 53 0
-43 -44 -86 0
-98 89 -40 0
-55 31 -12 0
-64 60 77 0
86 -27 -37 0
55 96 34 0
5 44 92 0
30 -90 -39 0
-23 38 -36 0
-40 -16 -12 0
-67 8 61 0
-4 -52 -51 0
4 -26 76 0
-18 -89 87 0
-39 27 -32 0
-15 -69 94 0
83 -72 -93 0
-19 70 -14 0
45 -30 -69 0
-48 -22 -83 0
-66 -87 55 0
-100 -45 -96 0
-81 -97 32 0
75 -36 -73 0
-98 -14 78 0
66 59 -36 0
44 17 43 0
1 -89 16 0
75 -58 42 0
-4 -98 22 0
-31 -44 -73 0
64 7 6 0
26 -45 -3 0
-48 -52 44 0
98 -3 40 0
35 -15 61 0
97 44 -30 0
16 75 -19 0
4 -63 46 0
91 -51 48 0
48 5 46 0
-31 7 70 0
-35 24 93 0
-48 -46 71 0
-39 84 74 0
-18 -61 -48 0
-89 -99 -66 0
-76 93 98 0
76 -94 -86 0
69 26 -62 0
87 -30 35 0
-93 81 -100 0
33 -14 -51 0
-70 58 -89 0
-33 72 2 0
69 1 43 0
6 -28 -16 0
64 18 68 0
-10 -18 7 0
-75 -5 -82 0
89 -68 97 0
-66 -77 59 0
35 -45 63 0
-51 -68 -28 0
67 40 4 0
45 5 71 0
72 -1 -19 0
76 16 45 0
-49 69 70 0
-75 93 -76 0
-82 86 96 0
95 98 32 0
-13 5 29 0
60 -91 14 0
65 42 -33 0
32 -2 -59 0
-57 -48 82 0
1 73 -15 0
-76 89 48 0
-29 83 -55 0
-35 -54 76 0
77 37 -59 0
-26 10 83 0
30 28 87 0
48 28 56 0
43 -3 6 0
-12 20 11 0
38 69 -57 0
61 -54 -23 0
48 20 96 0
33 71 48 0
-72 -17 -49 0
-30 24 -62 0
82 -4 39 0
-73 99 -30 0
-12 -33 29 0
90 42 50 0
-31 53 60 0
78 20 -7 0
-26 -97 -56 0
14 76 -89 0
76 -24 100 0
61 -93 75 0
24 -62 -33 0
88 -3 52 0
-100 72 91 0
47 89 49 0
69 -75 -2 0
-57 18 47 0
-45 -35 -26 0
11 -78 -55 0
-26 -13 -57 0
-84 -28 45 0
71 28 57 0
-41 -60 39 0
50 -67 -94 0
73 -94 72 0
99 51 58 0
81 7 -57 0
%
0

--------------------------------------------------

c This Formular is generated by mcnf
c
c    horn? no 
c    forced? no 
c    mixed sat? no 
c    clause length = 3 
c
p cnf 125  538 
 -89 36 -47 0
78 73 -70 0
125 81 42 0
6 -34 68 0
-50 -102 3 0
96 87 -98 0
88 -12 54 0
-27 -65 17 0
-2 106 -92 0
-90 70 46 0
30 125 -6 0
108 104 76 0
-98 -38 81 0
48 107 36 0
83 -16 125 0
48 12 29 0
-118 121 25 0
85 -5 73 0
94 41 -34 0
60 13 -100 0
-89 -65 -94 0
38 111 103 0
98 13 14 0
97 21 -48 0
-89 85 115 0
-21 -108 -70 0
-96 -13 -49 0
-83 -48 115 0
104 -64 -62 0
-3 -32 -47 0
-124 -115 48 0
6 75 -35 0
31 -106 -33 0
-61 -56 63 0
85 -84 38 0
-71 75 -122 0
15 -24 -50 0
-35 108 53 0
67 64 60 0
10 21 100 0
55 -97 1 0
-27 104 -42 0
-24 63 -101 0
81 -71 -41 0
32 85 122 0
58 -62 -119 0
-77 -16 -62 0
-112 -115 27 0
-66 22 101 0
-84 -69 9 0
-103 -9 -77 0
-54 19 81 0
-80 -124 -37 0
-12 27 125 0
37 91 106 0
62 -24 64 0
79 49 24 0
-80 -118 -34 0
-94 -110 21 0
-5 9 119 0
-41 116 64 0
110 -82 108 0
-44 70 -14 0
-71 -31 -98 0
-120 -4 79 0
-29 30 123 0
26 119 -83 0
29 -46 -18 0
30 69 -109 0
73 30 -111 0
34 47 3 0
-33 39 6 0
-63 -75 54 0
34 22 119 0
-125 -97 -58 0
-84 30 123 0
-98 -94 -50 0
111 -22 44 0
-90 11 -57 0
112 28 53 0
-121 96 79 0
3 30 -108 0
-22 118 -88 0
102 -121 -75 0
115 -65 6 0
91 -105 114 0
60 100 -74 0
-109 -48 -74 0
-10 -90 101 0
-62 113 -120 0
-84 120 83 0
-117 100 28 0
-22 -1 -103 0
76 81 56 0
-106 102 -42 0
79 -2 -66 0
-90 65 -80 0
47 -27 97 0
115 -72 124 0
99 -103 15 0
86 -31 59 0
-7 31 -73 0
58 -70 -104 0
-73 82 47 0
-110 -100 -22 0
-58 -77 -5 0
-124 -110 -102 0
24 4 69 0
103 106 -117 0
-68 36 -94 0
-63 -93 35 0
-13 83 -122 0
114 52 -70 0
-93 32 83 0
78 -123 -45 0
4 -24 49 0
50 -104 -91 0
113 81 -46 0
-36 -105 6 0
2 16 58 0
3 -65 43 0
59 -28 -111 0
17 -61 35 0
37 29 -26 0
103 -24 105 0
-54 -73 -105 0
-104 -57 109 0
-44 97 -118 0
124 -71 15 0
-114 90 61 0
-8 55 -79 0
69 -5 -8 0
-110 -13 -60 0
-89 -88 40 0
-15 -101 -117 0
81 76 -47 0
-111 7 76 0
81 43 57 0
-109 -108 24 0
101 72 42 0
7 90 80 0
27 -34 102 0
-101 9 -79 0
-100 -12 83 0
-48 -74 125 0
-123 7 104 0
-104 -74 39 0
102 69 14 0
-29 34 54 0
40 80 -100 0
54 -42 106 0
-38 98 -101 0
-81 -29 -12 0
-12 -112 104 0
-92 13 89 0
40 106 49 0
48 50 -16 0
-92 81 97 0
48 62 42 0
-36 94 -27 0
7 -75 -60 0
-99 17 -123 0
57 -6 79 0
-83 31 -66 0
14 -92 -36 0
120 98 -19 0
-2 5 -125 0
-47 50 -76 0
33 -64 -21 0
-46 86 -124 0
80 24 -88 0
11 53 -81 0
-8 89 -50 0
38 -71 21 0
22 -23 101 0
88 -64 -51 0
-1 -84 -30 0
81 101 -37 0
-87 97 -21 0
-123 -51 22 0
125 -34 69 0
28 85 -99 0
6 -120 -43 0
117 -87 -72 0
11 66 -27 0
-37 -39 -6 0
-121 117 -49 0
-37 -55 -84 0
54 -88 -45 0
102 110 -54 0
-101 53 -7 0
-72 -28 88 0
84 -33 67 0
125 40 -1 0
-31 17 -85 0
53 -121 29 0
-30 49 -89 0
-4 1 -119 0
-109 -42 19 0
84 -116 -75 0
18 3 -90 0
-107 -90 115 0
31 86 -34 0
3 -15 -118 0
81 -82 68 0
-125 17 -21 0
32 -44 47 0
-54 19 -89 0
39 -45 9 0
108 22 -88 0
-69 52 103 0
-46 -47 -84 0
95 -121 91 0
53 -121 -61 0
10 -15 -31 0
-4 117 94 0
-14 -54 92 0
75 -117 4 0
-60 -71 63 0
-63 107 71 0
85 46 3 0
62 27 64 0
-66 -82 52 0
80 24 72 0
74 82 -26 0
30 9 113 0
-42 124 28 0
-40 91 -116 0
93 114 -104 0
-83 80 108 0
3 -13 36 0
77 -73 -64 0
97 -64 90 0
-30 -87 23 0
26 48 -99 0
-56 24 -116 0
-4 -10 -13 0
41 -38 49 0
-49 -5 -109 0
-92 -98 125 0
43 36 -45 0
-98 -6 114 0
96 -113 -93 0
-41 73 -25 0
78 -118 -101 0
-61 8 41 0
67 -15 8 0
23 -74 -30 0
-83 -107 -44 0
83 -46 56 0
-55 -1 35 0
-114 -37 58 0
-58 111 93 0
-59 -110 -15 0
-42 -49 -29 0
124 36 93 0
77 -119 98 0
-29 48 -47 0
30 70 58 0
27 88 72 0
-23 -58 -89 0
53 42 -88 0
86 -80 1 0
81 106 80 0
-37 -52 89 0
37 -5 81 0
94 -48 88 0
9 34 94 0
-20 121 25 0
-100 47 -101 0
87 -68 -88 0
89 -37 -6 0
66 -101 112 0
-78 -4 23 0
26 77 -79 0
84 103 -51 0
4 109 -29 0
-88 101 -97 0
-101 -87 84 0
-31 -90 13 0
92 -49 6 0
10 -99 8 0
35 71 18 0
86 -120 114 0
-105 24 -17 0
20 -99 31 0
50 125 -100 0
-100 -74 28 0
19 -40 42 0
-60 64 -59 0
-57 -74 39 0
88 -23 -29 0
20 54 -16 0
94 -65 -9 0
-47 -6 -31 0
-45 -14 34 0
111 64 -29 0
-81 -20 -36 0
-65 36 -22 0
-41 -93 99 0
-30 -117 69 0
-70 -60 -108 0
-81 -30 -3 0
-74 65 105 0
63 -53 -120 0
92 -28 58 0
79 35 66 0
43 -89 44 0
